X,Y,OBJECTID,Objecttype,Type_velo,Ligging,Straatnaam,Huisnummer,Aanvulling,District,Postcode,Objectcode,Gebruik,Aantal_plaatsen
494289.351746383,6665059.39111817,225441,VELOSTATION,ENKELZIJDIG,VOETPAD,Nieuwdreef (2170),107,,MERKSEM,2170,VE_0000215,IN_GEBRUIK,36
495251.985376785,6665147.87822163,225442,VELOSTATION,DUBBELZIJDIG,PLEIN,Van Heybeeckstraat (2170),28,to 28,MERKSEM,2170,VE_0000216,IN_GEBRUIK,30
495904.465990076,6665473.45846126,225443,VELOSTATION,ENKELZIJDIG,GROENZONE,Bredabaan (2170),768,to 768,MERKSEM,2170,VE_0000217,IN_GEBRUIK,36
493789.568833641,6664396.1610795,225444,VELOSTATION,DUBBELZIJDIG,PLEIN,Ullenshofstraat (2170),3,to 3,MERKSEM,2170,VE_0000218,IN_GEBRUIK,36
494536.02017575,6664245.684355,225445,VELOSTATION,DUBBELZIJDIG,VOETPAD,Borrewaterstraat (2170),8,,MERKSEM,2170,VE_0000219,IN_GEBRUIK,33
495076.79582856,6664410.20974238,225446,VELOSTATION,DUBBELZIJDIG,PLEIN,Sint-Bartholomeusstraat (2170),122,,MERKSEM,2170,VE_0000220,IN_GEBRUIK,30
491349.04153394,6662673.34266577,225447,VELOSTATION,DUBBELZIJDIG,VOETPAD,Binnenvaartstraat (2000),,to Cadixstraat,ANTWERPEN,2000,VE_0000222,IN_GEBRUIK,36
490148.628192759,6662678.09578179,225448,VELOSTATION,DUBBELZIJDIG,VOETPAD,Rijnkaai (2000),15,,ANTWERPEN,2000,VE_0000223,IN_GEBRUIK,36
490899.204724798,6662887.96572794,225449,VELOSTATION,DUBBELZIJDIG,VOETPAD,Indiëstraat (2000),3,,ANTWERPEN,2030,VE_0000224,IN_GEBRUIK,36
490659.040656913,6662182.32471423,225450,VELOSTATION,DUBBELZIJDIG,VOETPAD,Verbindingsdok-Oostkaai (2000),9,to 9,ANTWERPEN,2000,VE_0000225,IN_GEBRUIK,36
493124.228884445,6662784.77879658,225451,VELOSTATION,DUBBELZIJDIG,GROENZONE,Noordschippersdok (2060),,terug naar Ijzerlaan,ANTWERPEN,2060,VE_0000226,IN_GEBRUIK,36
494758.139327026,6662585.85596014,225452,VELOSTATION,ENKELZIJDIG,PLEIN,Van Cortbeemdelei (2100),113,to 113 oh plein,DEURNE,2100,VE_0000227,IN_GEBRUIK,24
495513.026420906,6662042.25982279,225453,VELOSTATION,ENKELZIJDIG,PLEIN,Van Deynsestraat (2100),120,to 120,DEURNE,2100,VE_0000228,IN_GEBRUIK,24
495588.879776106,6661419.15782394,225454,VELOSTATION,DUBBELZIJDIG,GROENZONE,Jozef Nellenslei (2100),26,,DEURNE,2100,VE_0000229,IN_GEBRUIK,36
496705.46635179,6661931.98478488,225455,VELOSTATION,DUBBELZIJDIG,PLEIN,Sint-Fredegandusstraat (2100),80,,DEURNE,2100,VE_0000230,IN_GEBRUIK,36
497356.349661127,6661954.17036124,225456,VELOSTATION,DUBBELZIJDIG,GROENZONE,Gallifortlei (2100),278,,DEURNE,2100,VE_0000231,IN_GEBRUIK,36
498551.55382837,6661810.71996488,225457,VELOSTATION,DUBBELZIJDIG,PLEIN,Wim Saerensplein (2100),25,,DEURNE,2100,VE_0000232,IN_GEBRUIK,36
497160.887428718,6661210.26082443,225458,VELOSTATION,DUBBELZIJDIG,VOETPAD,Gallifortlei (2100),198,,DEURNE,2100,VE_0000233,IN_GEBRUIK,36
496616.76429391,6660693.17641467,225459,VELOSTATION,ENKELZIJDIG,VOETPAD,Jan Brochovenstraat (2100),28,,DEURNE,2100,VE_0000234,IN_GEBRUIK,36
495913.457180658,6660274.89069053,225460,VELOSTATION,DUBBELZIJDIG,PLEIN,Cogelsplein (2100),19-21,,DEURNE,2100,VE_0000235,IN_GEBRUIK,36
496485.595417888,6660154.70012184,225461,VELOSTATION,DUBBELZIJDIG,PLEIN,Maurice Dequeeckerplein (2100),3,to 3,DEURNE,2100,VE_0000236,IN_GEBRUIK,36
497508.75765334,6660386.42138786,225462,VELOSTATION,DUBBELZIJDIG,GROENZONE,Ter Rivierenlaan (2100),18,,DEURNE,2100,VE_0000237,IN_GEBRUIK,36
498227.044379628,6660966.64393547,225463,VELOSTATION,ENKELZIJDIG,VOETPAD,Ertbruggelaan (2100),2,,DEURNE,2100,VE_0000238,IN_GEBRUIK,24
498666.210497075,6660519.75490848,225464,VELOSTATION,ENKELZIJDIG,VOETPAD,Ruggeveldlaan (2100),549,,DEURNE,2100,VE_0000239,IN_GEBRUIK,30
498952.412666657,6659825.34161938,225465,VELOSTATION,DUBBELZIJDIG,VOETGANGERSZONE,Ruggeveldlaan (2100),,,DEURNE,2100,VE_0000240,IN_GEBRUIK,36
495754.78478984,6659146.18241966,225466,VELOSTATION,DUBBELZIJDIG,GROENZONE,Collegelaan (2140),42-44,to 42-44,BORGERHOUT,2140,VE_0000241,IN_GEBRUIK,36
495666.401106214,6658576.20776173,225467,VELOSTATION,DUBBELZIJDIG,GROENZONE,Luitenant Lippenslaan (2140),2,to 2,BORGERHOUT,2140,VE_0000242,IN_GEBRUIK,36
496284.712054889,6658454.73495171,225468,VELOSTATION,DUBBELZIJDIG,GROENZONE,Herentalsebaan (2100),133,,DEURNE,2100,VE_0000243,IN_GEBRUIK,36
497076.76962485,6658131.00507401,225469,VELOSTATION,DUBBELZIJDIG,PARKEERZONE,Herentalsebaan (2100),299,,DEURNE,2100,VE_0000244,IN_GEBRUIK,36
497744.723376862,6657958.13459565,225470,VELOSTATION,ENKELZIJDIG,GROENZONE,Florent Pauwelslei (2100),1,to 18,DEURNE,2100,VE_0000245,IN_GEBRUIK,36
496304.370726381,6658006.15034922,225471,VELOSTATION,DUBBELZIJDIG,GROENZONE,Arenaplein (2100),1,to 1,DEURNE,2100,VE_0000246,IN_GEBRUIK,36
494922.792663194,6658222.34086173,225472,VELOSTATION,ENKELZIJDIG,VOETPAD,Luitenant Lippenslaan (2140),55-59,,BORGERHOUT,2140,VE_0000247,IN_GEBRUIK,36
495281.486335716,6657802.00997234,225473,VELOSTATION,DUBBELZIJDIG,GROENZONE,Berchemlei (2140),67,to 67 thv De Schans,BORGERHOUT,2140,VE_0000248,IN_GEBRUIK,36
494728.682673087,6657421.03706507,225474,VELOSTATION,DUBBELZIJDIG,VOETPAD,Frans De Vriendtstraat (2140),61,to 61,BORGERHOUT,2140,VE_0000249,IN_GEBRUIK,30
494148.862508192,6656929.88355436,225475,VELOSTATION,DUBBELZIJDIG,VOETPAD,Diksmuidelaan (2600),8,hoek Herculusstraat,BERCHEM,2600,VE_0000250,IN_GEBRUIK,36
495594.209047334,6657449.09111199,225476,VELOSTATION,DUBBELZIJDIG,GROENZONE,Arthur Matthyslaan (2140),76,"to 76, to Thibautstraat",BORGERHOUT,2140,VE_0000251,IN_GEBRUIK,30
495399.867799838,6656771.03980184,225477,VELOSTATION,ENKELZIJDIG,VOETPAD,Karel De Preterlei (2140),222,to 222,BORGERHOUT,2140,VE_0000252,IN_GEBRUIK,33
495743.75937698,6656416.49982214,225478,VELOSTATION,ENKELZIJDIG,PLEIN,Vosstraat (2140),19,,BORGERHOUT,2140,VE_0000253,IN_GEBRUIK,36
496437.259254904,6656316.90984694,225479,VELOSTATION,DUBBELZIJDIG,MIDDENBERM,Boekenberglei (2100),189,,DEURNE,2100,VE_0000254,IN_GEBRUIK,30
497331.002688655,6657488.03082293,225480,VELOSTATION,ENKELZIJDIG,GROENZONE,Van den Hautelei (2100),90,to 90,DEURNE,2100,VE_0000255,IN_GEBRUIK,36
494506.072060683,6655940.36250799,225481,VELOSTATION,ENKELZIJDIG,VOETPAD,Helderstraat (2600),59,,BERCHEM,2600,VE_0000256,IN_GEBRUIK,36
495236.09417454,6655386.57582589,225482,VELOSTATION,ENKELZIJDIG,PARKEERZONE,Hofstadestraat (2600),,hoek Klerkenstraat,BERCHEM,2600,VE_0000257,IN_GEBRUIK,36
494694.330241634,6656310.74260234,225483,VELOSTATION,ENKELZIJDIG,GROENZONE,Lodewijk Van Berckenlaan (2140),127,to 127,BERCHEM,2600,VE_0000258,IN_GEBRUIK,30
493925.454251767,6655568.7079513,225484,VELOSTATION,DUBBELZIJDIG,GROENZONE,Posthofbrug (2600),,thv Arbeidersstraat,BERCHEM,2600,VE_0000259,IN_GEBRUIK,36
492218.63612834,6654921.86447929,225485,VELOSTATION,ENKELZIJDIG,GROENZONE,Hof ter Schriecklaan (2600),1,,BERCHEM,2600,VE_0000260,IN_GEBRUIK,27
493095.790886964,6654740.80294683,225486,VELOSTATION,DUBBELZIJDIG,GROENZONE,Henri Prostlaan (2600),5,eind vd keerlus,BERCHEM,2600,VE_0000261,IN_GEBRUIK,36
493758.174067815,6654849.61779601,225487,VELOSTATION,DUBBELZIJDIG,GROENZONE,Rooi (2600),,thv Achtersteveld,BERCHEM,2600,VE_0000262,IN_GEBRUIK,36
494354.23408717,6653986.4776338,225488,VELOSTATION,ENKELZIJDIG,MIDDENBERM,Fruithoflaan (2600),85,to 85 middenberm,BERCHEM,2600,VE_0000263,IN_GEBRUIK,36
493719.868364653,6654547.35115646,225489,VELOSTATION,DUBBELZIJDIG,PLEIN,Filip Williotstraat (2600),11,,BERCHEM,2600,VE_0000264,IN_GEBRUIK,36
493368.046547871,6654111.66169363,225490,VELOSTATION,DUBBELZIJDIG,VOETPAD,Pulhoflaan (2600),,thv Lappersbrug,BERCHEM,2600,VE_0000265,IN_GEBRUIK,36
493681.634153666,6653340.23602954,225491,VELOSTATION,ENKELZIJDIG,MIDDENBERM,Fruithoflaan (2600),3-5,to 3-5,BERCHEM,2600,VE_0000266,IN_GEBRUIK,36
492405.259144797,6654228.77186947,225492,VELOSTATION,DUBBELZIJDIG,GROENZONE,Prins Leopoldlaan (2600),36,to 36 od hoek,BERCHEM,2600,VE_0000267,IN_GEBRUIK,36
491863.385045299,6653736.99033341,225493,VELOSTATION,ENKELZIJDIG,VOETPAD,Lindendreef (2020),,,ANTWERPEN,2020,VE_0000268,IN_GEBRUIK,36
492519.580415863,6653745.55837138,225494,VELOSTATION,DUBBELZIJDIG,GROENZONE,Troyentenhoflaan (2600),120-122,,BERCHEM,2600,VE_0000269,IN_GEBRUIK,36
490262.196005534,6654329.5368609,225495,VELOSTATION,ENKELZIJDIG,GROENZONE,Eglantierlaan (2610),1,,ANTWERPEN,2020,VE_0000270,IN_GEBRUIK,36
490812.919559922,6653329.67646808,225496,VELOSTATION,DUBBELZIJDIG,GROENZONE,Beukenlaan (2020),24,to 24 hoek Middelheimlaan,ANTWERPEN,2020,VE_0000271,IN_GEBRUIK,36
492215.515728898,6652808.25119271,225497,VELOSTATION,ENKELZIJDIG,MIDDENBERM,Groenenborgerlaan (2020),199,,ANTWERPEN,2020,VE_0000272,IN_GEBRUIK,36
491251.324512811,6652448.69850372,225498,VELOSTATION,ENKELZIJDIG,GROENZONE,Oosterveldlaan (2610),8,to 8,WILRIJK,2610,VE_0000273,IN_GEBRUIK,36
489216.659223289,6651501.29129851,225499,VELOSTATION,DUBBELZIJDIG,PLEIN,Bist (2610),,,WILRIJK,2610,VE_0000274,IN_GEBRUIK,30
490172.365527316,6652199.27798899,225500,VELOSTATION,DUBBELZIJDIG,VOETPAD,Groenenborgerlaan (2610),17,,WILRIJK,2610,VE_0000275,IN_GEBRUIK,36
489142.591615025,6653828.59572722,225501,VELOSTATION,DUBBELZIJDIG,PLEIN,Kruishofstraat (2610),140,to 140,WILRIJK,2610,VE_0000276,IN_GEBRUIK,36
489781.127762404,6652673.3572075,225502,VELOSTATION,ENKELZIJDIG,VOETPAD,Ahornenlaan (2020),1,,WILRIJK,2610,VE_0000277,IN_GEBRUIK,36
489127.512828337,6650598.42362623,225503,VELOSTATION,DUBBELZIJDIG,GROENZONE,Oversneslaan (2610),54,,WILRIJK,2610,VE_0000278,IN_GEBRUIK,36
489191.555176206,6651094.17925741,225504,VELOSTATION,DUBBELZIJDIG,PLEIN,Doornstraat (2610),2,naast 2,WILRIJK,2610,VE_0000279,IN_GEBRUIK,36
487846.074950827,6652612.50132708,225505,VELOSTATION,DUBBELZIJDIG,GROENZONE,Bosheidelaan (2610),,hoek Rooiboslaan,WILRIJK,2610,VE_0000280,IN_GEBRUIK,36
488176.546169691,6653632.6611379,225506,VELOSTATION,DUBBELZIJDIG,GROENZONE,Hof Van Tichelen (2020),30,naast 30,ANTWERPEN,2020,VE_0000281,IN_GEBRUIK,36
487695.060668943,6653244.94198346,225507,VELOSTATION,DUBBELZIJDIG,VOETPAD,Letterkundestraat (2610),59-63,basis school de letter,WILRIJK,2610,VE_0000282,IN_GEBRUIK,36
486682.978010786,6653493.79327587,225508,VELOSTATION,DUBBELZIJDIG,PLEIN,Hollebeekstraat (2660),25-27,to 25-27,HOBOKEN,2660,VE_0000283,IN_GEBRUIK,36
485819.486004466,6653778.05683463,225509,VELOSTATION,DUBBELZIJDIG,VOETPAD,Steynstraat (2660),297-299,,HOBOKEN,2660,VE_0000284,IN_GEBRUIK,36
484046.29707318,6653655.20306228,225510,VELOSTATION,ENKELZIJDIG,PLEIN,Berkenrodelei (2660),150,naast 150,HOBOKEN,2660,VE_0000286,IN_GEBRUIK,36
484246.939533063,6652800.89224595,225511,VELOSTATION,DUBBELZIJDIG,VOETPAD,Berkenrodelei (2660),2,,HOBOKEN,2660,VE_0000287,IN_GEBRUIK,36
485334.036428656,6652716.03057125,225512,VELOSTATION,DUBBELZIJDIG,GROENZONE,Draaiboomstraat (2660),44,to 44,HOBOKEN,2660,VE_0000288,IN_GEBRUIK,36
484480.723731813,6652045.51041839,225513,VELOSTATION,DUBBELZIJDIG,VOETPAD,Walstraat (2660),5-7,to 5-7,HOBOKEN,2660,VE_0000289,IN_GEBRUIK,36
486220.485812019,6652526.66522417,225514,VELOSTATION,DUBBELZIJDIG,GROENZONE,Sint-Bernardsesteenweg (2660),886,to 886,HOBOKEN,2660,VE_0000290,IN_GEBRUIK,36
486764.01578548,6654715.15704447,225515,VELOSTATION,DUBBELZIJDIG,GROENZONE,Maurits Sabbelaan (2020),16-18,to 16-18,ANTWERPEN,2020,VE_0000291,IN_GEBRUIK,36
487689.018937107,6655104.11783399,225516,VELOSTATION,DUBBELZIJDIG,GROENZONE,Jacob le Mairestraat (2020),8,naast 8 aan keerlus,ANTWERPEN,2020,VE_0000292,IN_GEBRUIK,36
488794.789445525,6654695.18493291,225517,VELOSTATION,ENKELZIJDIG,PLEIN,Pol de Montstraat (2020),10,to 10 oh plein,ANTWERPEN,2020,VE_0000293,IN_GEBRUIK,36
487226.564856273,6655171.07002528,225518,VELOSTATION,ENKELZIJDIG,PLEIN,Valerius De Saedeleerstraat (2020),2,to 2,ANTWERPEN,2020,VE_0000294,IN_GEBRUIK,36
487504.922092835,6655735.35902006,225519,VELOSTATION,ENKELZIJDIG,GROENZONE,Emiel Vloorsstraat (2660),,hoek August Leysweg,ANTWERPEN,2020,VE_0000295,IN_GEBRUIK,36
489034.259705234,6655697.92980197,225520,VELOSTATION,DUBBELZIJDIG,GROENZONE,Eric Sasselaan (2020),69,to 69,ANTWERPEN,2020,VE_0000296,IN_GEBRUIK,36
488570.597500744,6655091.73624343,225521,VELOSTATION,DUBBELZIJDIG,GROENZONE,Jan De Voslei (2020),,thv C Huysmanslaan,ANTWERPEN,2020,VE_0000297,IN_GEBRUIK,36
487855.222367825,6651752.40940552,225522,VELOSTATION,ENKELZIJDIG,VOETPAD,Valkstraat (2610),,thv Gaston Fabrelaan,WILRIJK,2610,VE_0000298,IN_GEBRUIK,36
489589.271130821,6655319.32437388,225523,VELOSTATION,ENKELZIJDIG,GROENZONE,Camille Huysmanslaan (2020),,thv J V Rijswijcklaan,ANTWERPEN,2020,VE_0000299,IN_GEBRUIK,36
489505.765249971,6654856.73924645,225524,VELOSTATION,DUBBELZIJDIG,GROENZONE,Vogelzanglaan (2020),,thv voetbalveld,ANTWERPEN,2020,VE_0000300,IN_GEBRUIK,36
495415.964533225,6654735.91320501,225525,VELOSTATION,DUBBELZIJDIG,PLEIN,Luchthavenlei (2100),1,Op de parking van de luchthaven,DEURNE,2100,VE_0000301,IN_GEBRUIK,36
488742.934183147,6653035.77257795,225526,VELOSTATION,DUBBELZIJDIG,PLEIN,Rozenkransplein (2610),11,to 11 oh plein,WILRIJK,2610,VE_0000302,IN_GEBRUIK,36
484558.677141737,6653883.00441264,225527,VELOSTATION,ENKELZIJDIG,VOETPAD,Commandant Weynsstraat (2660),,,HOBOKEN,2660,VE_0000285,IN_GEBRUIK,36
490742.044113352,6663891.51119715,225528,VELOSTATION,ENKELZIJDIG,VOETPAD,Mexicostraat (2030),thv 37,nieuw havenhuis,ANTWERPEN,2030,VE_0000221,IN_GEBRUIK,36
490945.316199804,6663495.72482555,225529,VELOSTATION,ENKELZIJDIG,PARKEERZONE,Kambalastraat (2030),2,,ANTWERPEN,2030,VE_0000303,IN_GEBRUIK,36
493600.831373467,6663877.51942511,225530,VELOSTATION,DUBBELZIJDIG,GROENZONE,Campiniastraat (2170),50,,MERKSEM,2170,VE_0000304,IN_GEBRUIK,36
492652.906646047,6661373.87156074,225531,VELOSTATION,DUBBELZIJDIG,VOETGANGERSZONE,Van Kerckhovenstraat (2060),74,,ANTWERPEN,2060,VE_0000156,IN_GEBRUIK,36
492645.376063208,6657399.82229155,225532,VELOSTATION,DUBBELZIJDIG,PLEIN,Lange Leemstraat (2018),,,ANTWERPEN,2018,VE_0000161,IN_GEBRUIK,36
494654.936122267,6655194.78660107,225533,VELOSTATION,DUBBELZIJDIG,GROENZONE,Ter Nieuwerbrugge (2600),3,,BERCHEM,2600,VE_0000305,IN_GEBRUIK,36
482919.644000101,6651786.33677721,225534,VELOSTATION,DUBBELZIJDIG,GROENZONE,Baron Sadoinestraat (2660),26,,HOBOKEN,2660,VE_0000307,IN_GEBRUIK,36
486158.652263938,6651619.02595388,225535,VELOSTATION,ENKELZIJDIG,PLEIN,Majoor Maelfaitplein (2660),15,langsheen het plein,HOBOKEN,2660,VE_0000308,IN_GEBRUIK,36
484185.294959936,6651580.67754304,225536,VELOSTATION,DUBBELZIJDIG,GROENZONE,Paul Henri Spaaklaan (2660),2,,HOBOKEN,2660,VE_0000309,IN_GEBRUIK,36
484638.023593593,6650921.90626744,225537,VELOSTATION,DUBBELZIJDIG,PLEIN,Krijgsbaan (2660),20,,HOBOKEN,2660,VE_0000310,IN_GEBRUIK,36
483592.455070562,6652264.49608785,225538,VELOSTATION,ENKELZIJDIG,GROENZONE,Cockerillplaats (2660),12-14,to 12-14,HOBOKEN,2660,VE_0000311,IN_GEBRUIK,30
483390.77159057,6654046.28032175,225539,VELOSTATION,ENKELZIJDIG,GROENZONE,Graspolderlaan (2660),15-21,,HOBOKEN,2660,VE_0000312,IN_GEBRUIK,36
485726.17447197,6651261.82829328,225540,VELOSTATION,DUBBELZIJDIG,MIDDENBERM,Sint Bernaardsestwg,847,,HOBOKEN,2660,VE_0000314,IN_GEBRUIK,36
487079.778242212,6652134.82934784,225541,VELOSTATION,ENKELZIJDIG,GROENZONE,Den Brem (2610),91,,WILRIJK,2610,VE_0000320,IN_GEBRUIK,36
487345.049024321,6659853.22668523,225542,VELOSTATION,DUBBELZIJDIG,GROENZONE,Galgenweellaan (2050),70,,ANTWERPEN,2050,VE_0000163,IN_GEBRUIK,36
493478.188350746,6666006.58694362,225543,VELOSTATION,ENKELZIJDIG,GROENZONE,Ganzemate (2170),,,MERKSEM,2170,VE_0000317,IN_GEBRUIK,36
485142.516936296,6653512.68526003,225544,VELOSTATION,DUBBELZIJDIG,GROENZONE,Dokter Emiel Van Dammestraat (2660),28,,HOBOKEN,2660,VE_0000316,IN_GEBRUIK,36
487800.076876898,6650870.47834532,225545,VELOSTATION,ENKELZIJDIG,GROENZONE,Malisgoed (2610),7,,WILRIJK,2610,VE_0000322,IN_GEBRUIK,36
493167.469949161,6652323.27640219,225546,VELOSTATION,DUBBELZIJDIG,PLEIN,Monnikenplein (2610),1,,WILRIJK,2610,VE_0000321,IN_GEBRUIK,36
486309.851942247,6660292.33434425,225547,VELOSTATION,DUBBELZIJDIG,VOETPAD,Blancefloerlaan (2050),7272,,ANTWERPEN,2050,VE_0000162,IN_GEBRUIK,36
485348.633814608,6652297.09362896,225548,VELOSTATION,DUBBELZIJDIG,VOETPAD,Paul Vekemanslaan (2660),18,,HOBOKEN,2660,VE_0000325,IN_GEBRUIK,36
485739.350722466,6654523.53692075,225549,VELOSTATION,DUBBELZIJDIG,GROENZONE,Krugerbrug (2660),,,HOBOKEN,2660,VE_0000326,IN_GEBRUIK,36
487000.957687068,6652701.06221792,225550,VELOSTATION,DUBBELZIJDIG,PLEIN,Ridderveld (2610),7,,WILRIJK,2610,VE_0000327,IN_GEBRUIK,30
498172.296097443,6660148.77141247,225551,VELOSTATION,DUBBELZIJDIG,VOETPAD,Schotensesteenweg (2100),5,,DEURNE,2100,VE_0000328,IN_GEBRUIK,36
491912.393332597,6652358.88435062,225552,VELOSTATION,ENKELZIJDIG,GROENZONE,Oosterveldlaan (2610),24,,WILRIJK,2610,VE_0000323,IN_GEBRUIK,36
496621.124751806,6657509.43475431,225553,VELOSTATION,DUBBELZIJDIG,VOETPAD,Dordrechtlaan,2,,DEURNE,2100,VE_0000324,IN_GEBRUIK,24
497687.06462614,6661341.86879115,225554,VELOSTATION,ENKELZIJDIG,PLEIN,Prosper de Witstraat,5,,DEURNE,2100,VE_0000329,IN_GEBRUIK,27
484936.788679178,6651819.58814727,225555,VELOSTATION,ENKELZIJDIG,GROENZONE,Meerlenhoflaan (2660),32,ingang park,HOBOKEN,2660,VE_0000330,IN_GEBRUIK,36
482978.017959351,6652411.11053767,225556,VELOSTATION,DUBBELZIJDIG,GROENZONE,Zaatlaan (2660),6,,HOBOKEN,2660,VE_0000331,IN_GEBRUIK,36
488180.02580952,6650965.16268602,225557,VELOSTATION,DUBBELZIJDIG,GROENZONE,Michel Geysemansstraat (2610),10,,WILRIJK,2610,VE_0000332,IN_GEBRUIK,36
494456.862771235,6666428.84817039,225558,VELOSTATION,ENKELZIJDIG,GROENZONE,Frans Adriaenssensstraat (2170),123,joma basisschool,MERKSEM,2170,VE_0000333,IN_GEBRUIK,36
494752.091587248,6665327.28337564,225559,VELOSTATION,ENKELZIJDIG,PARKEERZONE,Speelpleinstraat (2170),,,MERKSEM,2170,VE_0000335,IN_GEBRUIK,36
490356.498357719,6651107.75769699,225560,VELOSTATION,DUBBELZIJDIG,PLEIN,Dokter Donnyplein (2610),1,,WILRIJK,2610,VE_0000340,IN_GEBRUIK,36
499037.530749229,6660269.11890437,225561,VELOSTATION,ENKELZIJDIG,GROENZONE,August Van de Wielelei (2100),136,,DEURNE,2100,VE_0000334,IN_GEBRUIK,36
489371.007236333,6652422.27807636,225562,VELOSTATION,DUBBELZIJDIG,PARKEERZONE,Sneeuwbeslaan (2610),,Hoek met Laarstraat,WILRIJK,2610,VE_0000336,IN_GEBRUIK,36
484614.056263694,6650323.35401152,225563,VELOSTATION,ENKELZIJDIG,VOETPAD,Verenigde Natieslaan (2660),168,,HOBOKEN,2660,VE_0000337,IN_GEBRUIK,36
482248.696714714,6652379.41452213,225564,VELOSTATION,DUBBELZIJDIG,VOETPAD,Leo Bosschartlaan (2660),,,HOBOKEN,2660,VE_0000339,BUITEN_GEBRUIK,36
497626.464945444,6656834.62977066,225565,VELOSTATION,,VOETPAD,Eksterlaar (2100),,,DEURNE,2100,VE_0000313,IN_GEBRUIK,36
497630.832628209,6656739.64176106,225566,VELOSTATION,,VOETPAD,Eksterlaar (2100),,,DEURNE,2100,VE_0000315,GEPLAND,36
490388.173770474,6651922.02195708,225567,VELOSTATION,DUBBELZIJDIG,GROENZONE,Schaliemolenstraat (2610),2,to 2 od groenzone,WILRIJK,2610,VE_0000319,IN_GEBRUIK,36
491620.84685461,6662368.14947027,225568,VELOSTATION,DUBBELZIJDIG,PARKEERZONE,Kempenstraat (2030),,,ANTWERPEN,2030,VE_0000341,IN_ONDERZOEK,36
487955.440849693,6657837.65366805,225569,VELOSTATION,DUBBELZIJDIG,VOETPAD,Jos Smolderenstraat (2000),,,ANTWERPEN,2000,VE_0000342,IN_GEBRUIK,36
491482.760018632,6662076.15911321,225570,VELOSTATION,DUBBELZIJDIG,GROENZONE,Ellermanstraat (2060),,,ANTWERPEN,2060,VE_0000164,IN_GEBRUIK,36
491287.593187865,6661829.16459869,225571,VELOSTATION,DUBBELZIJDIG,PLEIN,Italiëlei (2000),,,ANTWERPEN,2000,VE_0000167,IN_GEBRUIK,30
490128.385746428,6659994.67159867,225572,VELOSTATION,ENKELZIJDIG,VOETPAD,Schoenmarkt (2000),,,ANTWERPEN,2000,VE_0000166,IN_GEBRUIK,33
492113.711724512,6659920.37674633,225573,VELOSTATION,ENKELZIJDIG,PLEIN,Koningin Astridplein (2018),,,ANTWERPEN,2018,VE_0000171,IN_GEBRUIK,12
490820.008670888,6661215.06380978,225574,VELOSTATION,DUBBELZIJDIG,VOETPAD,Paardenmarkt (2000),43,,ANTWERPEN,2000,VE_0000165,IN_GEBRUIK,36
492104.404236354,6659921.166594,225575,VELOSTATION,ENKELZIJDIG,PLEIN,Koningin Astridplein (2018),,,ANTWERPEN,2018,VE_0000172,IN_GEBRUIK,12
494855.749916339,6660803.07524405,225576,VELOSTATION,DUBBELZIJDIG,PARKEERZONE,Noordersingel (2140),,"Spoor-Oost, ad fietsenstalling",BORGERHOUT,2140,VE_0000306,BUITEN_GEBRUIK,36
492032.101934565,6663053.10404056,225577,VELOSTATION,DUBBELZIJDIG,VOETGANGERSZONE,Asiadok-Oostkaai (2030),nvt,,ANTWERPEN,2030,VE_0000175,IN_GEBRUIK,36
491671.459473232,6660283.12916576,225578,VELOSTATION,ENKELZIJDIG,VOETGANGERSZONE,Franklin Rooseveltplaats (2060),nvt,,ANTWERPEN,2060,VE_0000173,IN_GEBRUIK,36
