X,Y,OBJECTID,Objecttype,Type_velo,Ligging,Straatnaam,Huisnummer,Aanvulling,District,Postcode,Objectcode,Gebruik,Aantal_plaatsen
492033.939551061,6659836.48912885,225332,VELOSTATION,ENKELZIJDIG,VOETPAD,De Keyserlei (2018),57,,ANTWERPEN,2018,VE_0000004,IN_GEBRUIK,21
490776.341850876,6660568.18282779,225333,VELOSTATION,ENKELZIJDIG,PARKEERZONE,Keizerstraat (2000),56-58,to 56-58,ANTWERPEN,2000,VE_0000028,IN_GEBRUIK,24
492119.04579429,6657428.72827907,225334,VELOSTATION,ENKELZIJDIG,VOETPAD,Lamorinièrestraat (2018),148,,ANTWERPEN,2018,VE_0000130,IN_GEBRUIK,18
491305.147499777,6657683.55252735,225335,VELOSTATION,ENKELZIJDIG,VOETPAD,Sint-Vincentiusstraat (2018),61,to 61,ANTWERPEN,2018,VE_0000093,IN_GEBRUIK,30
490041.434706735,6656464.39783781,225336,VELOSTATION,ENKELZIJDIG,PARKEERZONE,Van Schoonbekestraat (2018),,thv markgravelei,ANTWERPEN,2018,VE_0000089,IN_GEBRUIK,21
489671.492209695,6657773.44583083,225337,VELOSTATION,ENKELZIJDIG,VOETPAD,Boudewijnsstraat (2018),19-21,to 19-21,ANTWERPEN,2018,VE_0000085,IN_GEBRUIK,24
491283.752135895,6659123.02450108,225338,VELOSTATION,ENKELZIJDIG,PARKEERZONE,Rubenslei (2018),,thv ingang park,ANTWERPEN,2018,VE_0000096,IN_GEBRUIK,24
489111.284808997,6659681.25622507,225339,VELOSTATION,ENKELZIJDIG,PARKEERZONE,Plantinkaai (2000),27,to 27,ANTWERPEN,2000,VE_0000065,IN_GEBRUIK,30
489939.000046406,6660099.95945295,225340,VELOSTATION,ENKELZIJDIG,PLEIN,Groenplaats (2000),7,,ANTWERPEN,2000,VE_0000017,IN_GEBRUIK,18
491238.35257568,6660634.70922509,225341,VELOSTATION,ENKELZIJDIG,PARKEERZONE,Pieter van Hobokenstraat (2000),19-21,,ANTWERPEN,2000,VE_0000054,IN_GEBRUIK,21
492293.152704416,6661590.78375604,225342,VELOSTATION,ENKELZIJDIG,VOETPAD,Trapstraat (2060),10,,ANTWERPEN,2060,VE_0000118,IN_GEBRUIK,21
493222.888921153,6661607.22398499,225343,VELOSTATION,ENKELZIJDIG,PARKEERZONE,Stuivenbergplein (2060),36-1,to 36-1,ANTWERPEN,2060,VE_0000121,IN_GEBRUIK,30
492196.881891494,6655434.48372218,225344,VELOSTATION,DUBBELZIJDIG,GROENZONE,Binnensingel (2600),,kp Grote Stwg,BERCHEM,2600,VE_0000103,IN_GEBRUIK,36
490694.020434792,6655530.87543297,225345,VELOSTATION,ENKELZIJDIG,MIDDENBERM,Karel Oomsstraat (2018),69,to 69 od middenberm thv binnensingel,ANTWERPEN,2018,VE_0000031,IN_GEBRUIK,36
491168.217009909,6655638.84392418,225346,VELOSTATION,ENKELZIJDIG,PARKEERZONE,De Wittestraat (2600),101,"to 101, thv generaal lemanstraat",BERCHEM,2600,VE_0000131,IN_GEBRUIK,21
491760.400470878,6655882.05463495,225347,VELOSTATION,ENKELZIJDIG,PLEIN,Frans Van Hombeeckplein (2600),10,to 10,BERCHEM,2600,VE_0000100,IN_GEBRUIK,33
490952.099109469,6656232.42709042,225348,VELOSTATION,ENKELZIJDIG,GROENZONE,Generaal Lemanstraat (2018),6,to 6 thv karel oomsstraat,ANTWERPEN,2018,VE_0000099,IN_GEBRUIK,24
488772.065952463,6656477.95445908,225349,VELOSTATION,DUBBELZIJDIG,GROENZONE,Desguinlei (2018),,Kielsbroek thv Montignystraat,ANTWERPEN,2018,VE_0000010,IN_GEBRUIK,36
491897.448403426,6656725.81187098,225350,VELOSTATION,ENKELZIJDIG,PARKEERZONE,Boomgaardstraat (2018),31,,ANTWERPEN,2018,VE_0000098,BUITEN_GEBRUIK,21
489161.287481103,6656888.88798166,225351,VELOSTATION,ENKELZIJDIG,VOETPAD,Lange Elzenstraat (2018),56,,ANTWERPEN,2018,VE_0000087,IN_GEBRUIK,21
493591.703018123,6656921.08411289,225352,VELOSTATION,ENKELZIJDIG,PLEIN,Burgemeester E. Ryckaertsplein (2600),,NMBS station Berchem,BERCHEM,2600,VE_0000007,IN_GEBRUIK,36
493819.467384787,6658363.03493922,225353,VELOSTATION,DUBBELZIJDIG,RIJWEG,Vandenpeereboomstraat (2140),106,,BORGERHOUT,2140,VE_0000009,IN_GEBRUIK,30
490049.733003645,6656955.24452805,225354,VELOSTATION,ENKELZIJDIG,PARKEERZONE,Van Trierstraat (2018),2,to 2 thv haantjeslei,ANTWERPEN,2018,VE_0000088,IN_GEBRUIK,21
490479.254772863,6657069.69155086,225355,VELOSTATION,ENKELZIJDIG,VOETPAD,Lange Lozanastraat (2018),,,ANTWERPEN,2018,VE_0000029,IN_GEBRUIK,18
491150.016683008,6657151.96812649,225356,VELOSTATION,ENKELZIJDIG,PARKEERZONE,Mechelsesteenweg (2018),,thv ingang harmoniepark,ANTWERPEN,2018,VE_0000042,IN_GEBRUIK,21
492979.062583613,6657312.35889861,225357,VELOSTATION,ENKELZIJDIG,GROENZONE,Stanleystraat (2018),1,to 1 thv lange leemstraat,ANTWERPEN,2018,VE_0000097,IN_GEBRUIK,21
488939.475611648,6657354.6703194,225358,VELOSTATION,ENKELZIJDIG,VOETPAD,Troonplaats (2018),,thv montignystraat,ANTWERPEN,2018,VE_0000086,IN_GEBRUIK,27
490985.756213525,6657557.73946281,225359,VELOSTATION,ENKELZIJDIG,VOETPAD,Mechelsesteenweg (2018),180,,ANTWERPEN,2018,VE_0000092,IN_GEBRUIK,21
490337.029209235,6657561.02907939,225360,VELOSTATION,ENKELZIJDIG,VOETPAD,Vinkenstraat (2018),7,to 7,ANTWERPEN,2018,VE_0000090,IN_GEBRUIK,18
488431.047075315,6657578.54393061,225361,VELOSTATION,ENKELZIJDIG,PLEIN,Bolivarplaats (2000),,thv gerechtsgebouw,ANTWERPEN,2000,VE_0000081,IN_GEBRUIK,27
493387.725796013,6657752.84936172,225362,VELOSTATION,ENKELZIJDIG,VOETPAD,Draakplaats (2018),,,BERCHEM,2600,VE_0000106,IN_GEBRUIK,33
489634.340161688,6658122.75721484,225363,VELOSTATION,ENKELZIJDIG,VOETPAD,Amerikalei (2000),82,,ANTWERPEN,2000,VE_0000083,IN_GEBRUIK,27
489188.259937332,6658143.10428163,225364,VELOSTATION,ENKELZIJDIG,VOETPAD,Beeldhouwersstraat (2000),,thv Admiraal De Boisotstraat,ANTWERPEN,2000,VE_0000015,BUITEN_GEBRUIK,24
492502.964361444,6658188.61124142,225365,VELOSTATION,ENKELZIJDIG,PARKEERZONE,Provinciestraat (2018),,thv mercatorstraat,ANTWERPEN,2018,VE_0000104,IN_GEBRUIK,18
488390.988395742,6658262.57856607,225366,VELOSTATION,DUBBELZIJDIG,VOETPAD,Waalsekaai (2000),46,thv Fotografie museum,ANTWERPEN,2000,VE_0000082,IN_GEBRUIK,24
490731.633458948,6658309.53479695,225367,VELOSTATION,ENKELZIJDIG,VOETPAD,Mechelsesteenweg (2018),66,,ANTWERPEN,2018,VE_0000091,IN_GEBRUIK,18
493307.374851863,6658342.07504882,225368,VELOSTATION,ENKELZIJDIG,VOETPAD,Lange Van Ruusbroecstraat (2018),114,,ANTWERPEN,2018,VE_0000105,IN_GEBRUIK,33
490132.242588627,6658380.71271157,225369,VELOSTATION,ENKELZIJDIG,VOETPAD,Britselei (2000),86-94,,ANTWERPEN,2000,VE_0000078,IN_GEBRUIK,27
488791.287930252,6658493.8957695,225370,VELOSTATION,ENKELZIJDIG,PARKEERZONE,Vlaamsekaai (2000),35,,ANTWERPEN,2000,VE_0000075,BUITEN_GEBRUIK,24
491739.414327424,6658533.64727361,225371,VELOSTATION,ENKELZIJDIG,MIDDENBERM,Van Eycklei (2018),48,to 48,ANTWERPEN,2018,VE_0000116,IN_GEBRUIK,18
488559.913338093,6658382.95163888,225372,VELOSTATION,DUBBELZIJDIG,VOETGANGERSZONE,Waalsekaai (2000),53,,ANTWERPEN,2000,VE_0000034,BUITEN_GEBRUIK,36
490615.796275083,6658712.59739554,225373,VELOSTATION,ENKELZIJDIG,VOETPAD,Britselei (2000),4,thv mechelsesteenweg,ANTWERPEN,2000,VE_0000079,IN_GEBRUIK,24
494011.995856784,6658831.7626615,225374,VELOSTATION,ENKELZIJDIG,PLEIN,Maarschalk Montgomeryplein (2140),4,to 4 oh plein,BORGERHOUT,2140,VE_0000132,IN_GEBRUIK,18
489683.503309401,6658860.13590613,225375,VELOSTATION,ENKELZIJDIG,PARKEERZONE,Kronenburgstraat (2000),82,to 82,ANTWERPEN,2000,VE_0000072,IN_GEBRUIK,27
